G1,G2,G3
P02770,P14046,A0A0G2JSH5
A0A0G2JSH5,F1LMU0,M0RBF1
M0RBF1,Q6MG90,P14046
F1MAA7,F7EZQ4,D4AA52
P14046,P58775,G3V8B0
D4AA52,G3V6D8,D4A678
G3V8B0,P15865,Q03626
D4A678,P02650,Q63041
Q03626,Q5M7W5,P12346
Q63041,A0A0G2K654,A0A140UHX6
P12346,P05545,Q01177
A0A140UHX6,M0R7B4,P01946
P01946,P63159,Q7TQ70
Q7TQ70,P11883,P20760
P20760,P05982,P14480
P14480,P16409,Q6MG90
A0A0G2K9I6,A0A0G2JSP8,D3Z9Z0
P20059,P63088,Q5EBC0
D3Z9Z0,P13084,P02091
Q5EBC0,Q62636,P08932
P02091,P0DP31,P06866
P04276,D3ZBN0,F1M983
P08932,P01836,P01048
A0A0G2JSQ4,F1LN75,A0A0G2K896
P06866,G3V9N7,P02680
G3V6D8,P16290,P11517
A0A0G2JXJ7,Q9JJ54,P02650
P01048,M0R8B6,G3V9R9
P02680,P52925,P04639
P11517,B2RYN8,G3V843
Q5M7T5,F1M7S4,P27139
P02650,P08733,B0BNN3
G3V9R9,D3ZCT7,P05545
P04639,Q8R4I6,A0A0G2JZ73
G3V843,P09605,F8WFT7
P27139,Q6IMF3,F1M6Q3
A0A0G2K654,P15429,F1LM30
B0BNN3,Q6AZ33,P24090
P05545,Q5U318,A0A0G2K3G0
M0R7B4,P04466,Q62669
F8WFT7,Q62894,P10959
A0A0H2UHI5,D4A772,A0A0G2K477
F1M6Q3,P62329,P11883
F1LM30,Q99041,B5DF65
P24090,Q63514,D3ZFH5
A0A0G2K3G0,D3ZD73,A0A0G2K8C1
Q62669,Q4QQW8,D3ZBS2
D3ZYH8,P50753,F1LTN6
P07756,Q6IRI9,P16409
P10959,Q5M860,P08934
Q5I0M1,P63029,F1LR92
P63159,D4A3K5,D3ZSY4
A0A0G2K477,Q6AXS5,Q7TP58
Q9QX79,D3ZW15,Q63910
A0A1B0GWS5,D4A917,A0A0G2K135
D3ZFH5,G3V811,A0A0G2JSH9
A0A0G2K8C1,P06238,P01836
P20761,P02600,P02454
D3ZBS2,P02625,A0A0G2K2W5
F1LTN6,Q6PDU1,F1LPR6
P16409,P47967,Q64240
P08934,P14173,P08733
P63088,Q9Z2X5,F7FHF3
D3ZSY4,A0A0G2K290,P02767
Q7TP58,D3ZXP3,D3ZTE0
Q62636,A0A0G2K9W7,Q63514
P09650,P46413,Q6IRI9
Q63910,P14841,A0A0G2JVW5
A0A0G2K135,B2RZ77,A0A0G2KAN1
P28494,D3ZAS8,B5DF57
F1LUT4,G3V7V6,F7EPF5
A0A0G2JSH9,D4ACV3,P02625
P01836,Q9R1T1,Q4FZX6
P02454,P23347,P31211
A0A0G2JUX5,P11232,P47967
G3V9N7,D4AEI5,G3V978
D3ZDV2,D4A5E5,A0A0G2K290
F1MA59,P05943,P18297
P52925,B4F7A5,Q99JC6
F1M589,A0A0G2JST6,P20762
B2RYN8,P19234,A0A0G2K742
P08733,Q64194,Q03238
D3ZCT7,P35859,F1LUN5
F7FHF3,P81799,F1LRJ1
P09605,Q4KLZ0,M0RA79
D3ZNJ5,Q5M878,P19939
Q6P734,G3V7I3,P02634
D4A7X9,P06302,Q5M878
D4AEP0,D3Z955,Q5XFV4
D4ABA5,B5DFK6,P20767
F1LQJ7,Q5XFV4,P55159
Q6AZ33,P56741,F1M8K5
Q5U216,Q3KR55,Q62975
P02767,P06907,P04638
D4A772,Q7TP91,Q4KM75
P25809,Q6MG49,P02692
P00406,P70500,B0BNN4
P62329,D3ZHA7,Q6AY80
D4AAV4,Q6AXY8,M0RAZ1
A0A0H2UHJ1,A0A0G2K9G6,G3V8D4
P11685,A0A0G2K3V4,M0RBD5
P40241,B5DFN4,O88775
P20651,D4A7F2,Q4FZZ3
D3ZPL1,F1M512,Q9EQV8
P17559,B0BNI5,A0A0G2JSK9
Q6IFW6,Q5BJQ6,P25236
Q4QQW8,A0A0G2K1L8,Q99ME0
P50753,Q5RK09,Q7TMA5
B2RYJ7,P02692,D3ZPI8
Q6IRI9,P84245,D4A4L6
Q5KTC7,Q9QX69,F1LZY6
P63029,P62856,Q66HT1
P06757,P18437,M0R628
D4A3K5,D4A7D7,M0RD98
D3ZW15,P23693,D3ZJW6
Q5XI99,E9PTA4,F7FL53
D4A917,Q811M5,P14630
A0A0G2KAN1,Q9WV63,P22791
G3V811,D4A4U3,F1LQT4
Q4KLZ6,O88775,F6Q1N1
P84060,A0A0G2K6I4,Q5EBA7
Q3T1L0,Q9EQV8,Q7TP42
F7EPF5,P09217,O88752
P02625,B5DFJ4,Q62714
Q6PDU1,Q63210,Q9EQV9
A0A0G2JX74,R9PXX3,P19999
P31211,P12928,A0A0G2JT70
P14173,P62845,A0A0G2K528
G3V829,O54698,Q99P85
G3V978,E9PTK9,Q63704
A0A0G2K290,F1M6V8,M0R9U2
Q5PPN4,B2RZC6,D4A021
P14272,F1LQC5,Q03336
Q5HZE4,A0A0G2JVT8,F1LXY6
G3V6L8,Q4KLJ0,D3ZE02
Q6MGA3,G3V9W0,Q99J86
A0A0G2K9W7,Q80W92,O88550
Q5U211,A0A0G2K648,P00185
F1M3R4,A0A140TA89,A0A0G2JXF0
P46413,E9PTE1,D3ZMS7
A0A0G2JSJ1,F8WG67,Q6TEK4
O88794,O08700,D4A465
B2RZ77,G3V9T7,D4ABX9
D3ZAS8,B5DEH0,D3ZZ08
G3V7V6,D3ZF13,F1LQ00
D3ZUM4,D4AA63,Q9JI03
A0A0G2K2D6,D3ZWR1,D4A8Y6
D4ACV3,Q6IMX7,A0A0G2JW03
Q3ZAV8,Q64380,G3V6Z8
Q9R1T1,M0R6T1,F1LVL2
P23347,Q4FZV0,B5DEH7
Q05BA4,Q08420,D4A891
A0A0G2K1L0,Q5XIJ6,P63081
D4AEI5,Q62825,D4A0Q1
F1LPA4,A0A0G2K3N1,Q6P7C7
P23680,Q5XIN4,
B4F7A5,A0A0G2K2R5,
B0K010,Q7TMA5,
F1LPE9,Q66HR5,
P08430,P38438,
D4AC12,Q4QQT3,
A0A0G2JST6,M0RB46,
P19234,Q5I0E1,
P19939,D3ZRP6,
A0A0H2UHL3,M0R6D6,
P02634,Q920F5,
A0A0G2K1S6,Q5U1W8,
P81799,F7EV94,
