Accession,A1,A2,A3,B1,B2,B3
P02452,194.046611,249.4445324,116.681305,21.68408996,19.78559639,19.41784216
Q99715,147.1039936,270.9980619,105.8416479,31.20866633,35.26861029,31.75097228
P98160,140.1108656,162.5326964,209.0567134,32.10964861,32.49900429,53.52610916
A0A087WTA8,210.7261011,201.0668869,136.7749899,22.85321386,20.7782142,21.98897936
P01023,200.5741753,233.2641269,140.4658567,13.08638022,13.57875095,13.49459979
P02461,193.5987362,206.0266819,133.804023,25.45121828,27.23579391,32.10964861
P12111,127.3098208,221.0379885,118.9342782,59.93422669,38.01388494,54.49486717
O00468,148.3726528,228.0764555,177.1794545,26.25254456,25.45121828,25.32898847
Q6UVK1,128.8345889,142.5686254,179.7813757,49.69166667,47.3497474,68.99639023
Q8WUM4,153.7965332,186.7461569,156.8180091,51.27430408,39.43452692,33.97767641
P07996,149.6637627,184.5603435,202.0616735,32.3892188,33.22572171,28.56761064
P35555,172.6423026,196.5099741,162.7379903,30.46839345,32.75481873,31.45445934
P68366,108.6196913,122.0979145,189.3486189,60.34205764,53.1258574,71.53202811
P05997,189.3771192,230.2597997,121.0136406,27.36005056,29.5180915,27.64855072
P35442,176.8458585,292.8836009,88.99282813,23.45116774,21.55517778,21.25282203
P13611,205.9681075,269.7561603,83.66592403,15.42516783,17.09219206,15.29199682
P08253,200.0022948,259.9773567,111.5512091,12.68980296,13.88112438,12.30778777
O15230,155.7333248,193.2080094,179.1516268,31.79032393,33.39131712,32.85818684
P06756,153.288957,137.3591198,135.2830055,45.78333333,92.9013857,65.15899175
P12109,171.3072474,211.8623615,144.7170844,34.69056674,29.68325522,34.2606842
Q13308,178.2575718,109.9177756,167.4501822,48.05373327,55.75567643,45.33715375
P20908,185.5739817,225.9140395,127.6191053,29.19126471,28.8585915,28.69535859
O43854,96.43192739,283.1978712,162.7379903,21.50273546,24.03474951,22.12291258
P17301,157.1821579,110.7310683,168.2255785,49.01285068,61.69087355,64.11388127
A0A0A0MT26,171.7169857,122.7797601,164.143,51.16149958,50.23163059,54.49486717
P15144,187.1475305,152.1839602,143.1117547,43.91490246,46.40942056,43.45781789
J3QSU6,99.58509882,235.7800873,158.2350245,33.46051529,36.29691076,48.21087606
E7ESP4,156.1759878,143.6678368,141.3095864,49.2215291,61.26726642,70.28356433
P19823,213.0265273,172.2648457,183.6355489,11.79939808,11.96161712,13.88112438
P23142,159.8458952,231.8982279,136.1274143,28.94459642,29.36742989,43.19591291
P02774,255.012217,97.28713029,166.2349536,11.07523444,11.38006544,13.34365599
Q08431,129.7088703,199.3104727,238.3589809,17.80215301,20.67801958,19.97387902
A0A140TA32,213.2393004,191.1505144,127.5246677,29.42247828,25.82055174,25.77000094
A0A024R571,133.019738,123.4703641,218.8417907,55.51683396,41.98567535,39.79762601
P19827,218.3323039,243.9253339,74.85696436,20.34107187,19.66457356,20.7782142
E7EQG2,116.8866259,115.5109869,223.9679312,56.60831835,48.02679016,42.57379485
P09486,212.7301065,140.378287,158.2350245,39.01182505,33.08925191,25.14122806
P09871,195.2023579,237.7975275,133.1536645,20.0920156,19.97387902,15.81384177
P08473,204.6309529,119.2641326,117.4638738,58.26846694,54.37520254,44.51868891
O15031,157.7420236,87.81789382,185.4279697,49.61178707,58.24301071,62.83036491
O14672,132.0474323,136.6073841,150.4181092,47.13644586,69.04320724,81.09884182
P05121,130.0411983,117.6478404,236.1893626,37.86222992,46.99605641,45.4820803
P00747,225.1734488,163.2368384,153.7141271,17.68451439,17.09219206,18.75714702
P61224,143.6809877,124.2653729,152.7430378,47.96037599,60.97473301,85.36505123
Q9Y4K0,106.8324705,152.5708441,233.3481659,37.86222992,37.63857128,48.34655906
P12110,151.5774643,212.2412456,129.2097572,44.48827097,38.46432438,47.22508133
D6RGZ6,203.782056,284.0581901,95.54564778,6.576352541,6.256827097,5.978360196
Q9P2B2,130.7300368,182.5711153,239.6318516,22.31465549,25.95175667,24.14977029
B4DPQ0,202.1172751,231.3640233,134.3450146,14.99233852,16.84155903,16.68425733
Q16270,158.8454121,135.2095474,213.1238059,32.75481873,41.75813345,39.65119748
