Accession	Mol. weight [kDa]
sp|A0A096MJZ0|DNAL1_RAT	21.503
tr|A0A096MJS3|A0A096MJS3_RAT	82.26700000000001
tr|F1M4A0|F1M4A0_RAT	194.03
sp|A1A5P0|BORG5_RAT	41.028
sp|A1L108|ARP5L_RAT	17.01
sp|A1L1I3|NUMBL_RAT	65.512
sp|A2RRU1|GYS1_RAT	84.071
tr|A0A0G2K272|A0A0G2K272_RAT	17.604
sp|A9CMA6|TM163_RAT	31.344
sp|B0BN72|MCRI1_RAT	11.100999999999999
sp|B0BNA5|COTL1_RAT	15.932
tr|G3V9Z6|G3V9Z6_RAT	49.856
tr|F1LRZ1|F1LRZ1_RAT	560.43
sp|B1WBW4|ARM10_RAT	33.421
sp|B2DD29|BRSK1_RAT	85.182
tr|A0A0H2UHV4|A0A0H2UHV4_RAT	136.41
sp|B2GV05|RBM5_RAT	92.351
sp|B2GV22|PTSS2_RAT	54.722
tr|A0A0G2K266|A0A0G2K266_RAT	83.633
sp|B5DF41|SNPH_RAT	54.493
sp|B5DFC8|EIF3C_RAT	105.43
sp|C0HL12|AGRB1_RAT	172.88
sp|D3ZAA9|MPP2_RAT	61.56399999999999
sp|D3ZB51|TUTLB_RAT	145.08
sp|D3ZFB6|PRRT2_RAT	35.82
tr|M9MMM9|M9MMM9_RAT	611.47
tr|M9MMM8|M9MMM8_RAT	78.69
tr|A0A0G2K2M8|A0A0G2K2M8_RAT	71.821
sp|D3ZXD8|TM245_RAT	97.281
sp|D4A055|CACB4_RAT	57.963
sp|D4A0X3|K1107_RAT	147.83
tr|B5DEJ1|B5DEJ1_RAT	98.367
sp|D4A615|TONSL_RAT	151.83
sp|D4A6L0|GP158_RAT	134.46
sp|D4ABX8|LRFN4_RAT	67.258
tr|A0A0A0MXW9|A0A0A0MXW9_RAT	40.07
sp|D4AEC2|CAMP2_RAT	165.61
sp|E9PSK7|JIP3_RAT	145.65
tr|A0A0A0MXY4|A0A0A0MXY4_RAT	218.1
tr|A0A0G2K382|A0A0G2K382_RAT	149.92
sp|F1LSG8|VPS50_RAT	111.19
sp|F1LYQ8|FARP1_RAT	118.84
tr|A0A0G2K7Q9|A0A0G2K7Q9_RAT	180.98
sp|G3V6S8|SRSF6_RAT	39.025
sp|G3V9R8|HNRPC_RAT	32.857
tr|Q6AZ40|Q6AZ40_RAT	31.291999999999998
sp|O08629|TIF1B_RAT	88.955
tr|A0A140TAJ5|A0A140TAJ5_RAT	231.7
